id;name;price;seller #1;price #1;bonus #1;bonus, % #1;seller #2;price #2;bonus #2;bonus, % #2;seller #3;price #3;bonus #3;bonus, % #3;seller #4;price #4;bonus #4;bonus, % #4;seller #5;price #5;bonus #5;bonus, % #5;seller #6;price #6;bonus #6;bonus, % #6;seller #7;price #7;bonus #7;bonus, % #7;seller #8;price #8;bonus #8;bonus, % #8;seller #9;price #9;bonus #9;bonus, % #9;seller #10;price #10;bonus #10;bonus, % #10
100022842149;Набор фужеров CRISTAL D'ARQUES cubic для красного вина 6шт;1799;Bezant;1799;449;25%;Bezant;1799;449;25%;AUTSTOK;1840;460;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842174;Набор стаканов CRISTAL D'ARQUES 300 мл 6шт;1548;Bezant;1548;387;25%;Bezant;1548;387;25%;MrDom;2044;511;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022838453;Сковорода-вок TVS Вок Деко 28 см;2299;Bezant;2299;344;15%;Bezant;2299;344;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100001317275;Сушилка Gimi LIFT 1 мм;1190;Юлмарт;1190;178;15%;Юлмарт;1190;178;15%;Bezant;1188;178;0,15;ПОСУДАРСТВО.РУ;1509;226;0,15;;;;;;;;;;;;;;;;;;;;;;;;
100022841911;Чайный сервиз DOMENIK Bamboo на 6 персон;1275;Bezant;1199;299;25%;Bezant;1199;299;25%;Posuda.ru;1275;318;0,25;MrDom;1741;435;0,25;;;;;;;;;;;;;;;;;;;;;;;;
100022709119;Сушилка для белья напольная НИКА СБ3Б;529;Inhome;529;79;15%;Inhome;529;79;15%;Bezant;899;134;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028766;Сковорода MONETA Salvaenergia PLUS M0720124 24x5 см;1000;Юлмарт;1000;150;15%;Юлмарт;1000;150;15%;Bezant;1399;209;0,15;ItalPosuda;1490;223;0,15;vinand;1720;258;0,15;;;;;;;;;;;;;;;;;;;;
100022841588;Сковорода Illa IL1228B Синий;728;Bezant;728;109;15%;Bezant;728;109;15%;MrDom;1016;152;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836412;Блинная сковорода Attribute AFB524 Черный;838;Bezant;838;125;15%;Bezant;838;125;15%;MrDom;1181;177;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022840941;Набор фужеров Luminarc versailles для шампанского 6шт;788;Bezant;788;197;25%;Bezant;788;197;25%;Posuda.ru;921;230;0,25;Юлмарт;1266;316;0,25;MrDom;1231;307;0,25;;;;;;;;;;;;;;;;;;;;
100022842068;Ведро для мусора Curver 04045-844;1599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100024028767;Сковорода MONETA Salvaenergia PLUS M0720126 26x5 см;1100;Юлмарт;1100;165;15%;Юлмарт;1100;165;15%;pvs7;1230;184;0,15;Bezant;1499;224;0,15;ItalPosuda;1690;253;0,15;;;;;;;;;;;;;;;;;;;;
100022840957;Набор рюмок Luminarc версаль 50 мл 6шт;1157;Posuda.ru;1157;289;25%;Posuda.ru;1157;289;25%;Bezant;1154;288;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022838588;Комплект для пола моп 12л;749;Posuda.ru;749;149;20%;Posuda.ru;749;149;20%;Bezant;738;147;0,2;MrDom;788;157;0,2;;;;;;;;;;;;;;;;;;;;;;;;
